"Outcome","term","estimate","std.error","statistic","p.value"
"Gun-owner accident","(Intercept)",0.022,0.0062,3.5695,5e-04
"Gun-owner accident","Type: AR-15",-0.0011,0.0061,-0.1812,0.8565
"Gun-owner accident","Power: Strong",0.0075,0.0069,1.0816,0.281
"Gun-owner accident","Republican",0.0174,0.0065,2.6683,0.0084
"Gun-owner accident","Moderate",0.0119,0.0067,1.7715,0.0783
"Gun-owner accident","Libertarian",0.0127,0.0098,1.2979,0.1961
"Gun-owner accident","pol_orien_fOther",0.0038,0.0077,0.4949,0.6213
"Gun-owner accident","Male",0.0078,0.005,1.5681,0.1188
"Gun-owner accident","Strong × AR-15",0.0053,0.0099,0.5384,0.5911
"Gun stolen","(Intercept)",0.0246,0.0079,3.1257,0.0021
"Gun stolen","Type: AR-15",-0.0015,0.0082,-0.1854,0.8532
"Gun stolen","Power: Strong",0.0086,0.0092,0.9363,0.3505
"Gun stolen","Republican",0.0112,0.0076,1.4626,0.1455
"Gun stolen","Moderate",0.0101,0.0084,1.2051,0.2299
"Gun stolen","Libertarian",0.0231,0.0152,1.5143,0.1319
"Gun stolen","pol_orien_fOther",0.0139,0.0126,1.1032,0.2715
"Gun stolen","Male",0.0149,0.0063,2.3732,0.0188
"Gun stolen","Strong × AR-15",-1e-04,0.0125,-0.0089,0.9929
"Use in self-defense","(Intercept)",0.0492,0.0141,3.4883,6e-04
"Use in self-defense","Type: AR-15",-0.0017,0.0131,-0.132,0.8951
"Use in self-defense","Power: Strong",0.0012,0.0136,0.0915,0.9272
"Use in self-defense","Republican",0.0091,0.0129,0.7045,0.4821
"Use in self-defense","Moderate",0.0082,0.0141,0.5831,0.5606
"Use in self-defense","Libertarian",0.0013,0.0181,0.0692,0.9449
"Use in self-defense","pol_orien_fOther",-0.0065,0.0156,-0.4145,0.679
"Use in self-defense","Male",0.0075,0.0103,0.7232,0.4706
"Use in self-defense","Strong × AR-15",0.0112,0.0199,0.5622,0.5747
"Non-owner accident","(Intercept)",0.056,0.0188,2.9772,0.0033
"Non-owner accident","Type: AR-15",-0.0183,0.0183,-1.0003,0.3186
"Non-owner accident","Power: Strong",0.0448,0.0265,1.6879,0.0933
"Non-owner accident","Republican",0.017,0.0165,1.0306,0.3042
"Non-owner accident","Moderate",0.031,0.0206,1.5024,0.1349
"Non-owner accident","Libertarian",0.1382,0.0606,2.28,0.0239
"Non-owner accident","pol_orien_fOther",-0.0094,0.0185,-0.5087,0.6117
"Non-owner accident","Male",0.0181,0.0133,1.3563,0.1769
"Non-owner accident","Strong × AR-15",-0.0384,0.0309,-1.2435,0.2155
